,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
610,159.73166666666665,8.287922772859863,3.2583333333333333,1.988700720459357,8.888333333333334,3.643148439956248,19.721666666666668,5.9400502710181025,47.655,11.192079416563603,239.255,9.428678327316081,4.951666666666667,0.2144696300696714,0.6783333333333333,0.46711585524602084
620,160.70666666666668,8.21283277695475,3.1766666666666667,1.977908547487022,8.73,3.6258929934569317,19.348333333333333,5.925115798212078,47.141666666666666,11.249811726819646,239.10333333333332,9.471148586922052,4.948333333333333,0.22135316176242403,0.6866666666666666,0.4638486343146394
630,161.78166666666667,8.139246313729274,3.111666666666667,1.9661800245371417,8.561666666666667,3.5617688333498285,19.0,5.875088651813406,46.61833333333333,11.241411412965705,239.07333333333332,9.573119774776778,4.943333333333333,0.23120457511813064,0.6733333333333333,0.46899419565230677
640,162.75166666666667,8.097118657618616,3.0233333333333334,1.9138413959596816,8.388333333333334,3.479587699075229,18.66,5.8669469630009985,46.01833333333333,11.24787374968661,238.84166666666667,9.505959388135889,4.9383333333333335,0.24054914027884075,0.68,0.46647615158762584
650,163.69,8.11339838374361,2.9183333333333334,1.8969266078463771,8.176666666666666,3.4504283147973873,18.235,5.793942957951864,45.4,11.192705958197367,238.42,9.444059861450828,4.931666666666667,0.2523170404251149,0.6933333333333334,0.46110977242108325
660,164.66,8.06480419270466,2.8316666666666666,1.865475066095019,7.963333333333333,3.3909667582498595,17.908333333333335,5.785896406108753,44.84166666666667,11.177504069434383,238.205,9.482069482273728,4.921666666666667,0.2686954078919516,0.72,0.4489988864128739
670,165.58166666666668,8.11069235981464,2.7516666666666665,1.8511250332943268,7.738333333333333,3.3406382457382136,17.545,5.724914118715376,44.21333333333333,11.238823584145955,237.83,9.443574535100572,4.911666666666667,0.28377906116476387,0.6983333333333334,0.4589813600669291
680,166.55,8.022312634147339,2.6633333333333336,1.8083110597706635,7.55,3.284940385050132,17.206666666666667,5.675146596246557,43.62166666666667,11.199934399609473,237.59166666666667,9.45577057791813,4.906666666666666,0.2908989897236193,0.69,0.4624932431938901
690,167.455,7.968352506426077,2.58,1.776776106698119,7.38,3.2432905101660765,16.85333333333333,5.643741863535421,43.086666666666666,11.23013010709236,237.355,9.46567351011009,4.898333333333333,0.3022094564297333,0.73,0.44395945760846284
700,168.35,7.8740607905535835,2.5116666666666667,1.7281581396259924,7.216666666666667,3.162233739340307,16.508333333333333,5.551269874742377,42.55,11.246369784660876,237.13666666666666,9.346014599222974,4.886666666666667,0.3169998247458344,0.7133333333333334,0.45220447685630866
710,169.15333333333334,7.8856296866867615,2.4516666666666667,1.707141047352428,7.045,3.1293729403827846,16.143333333333334,5.454000570427381,41.94166666666667,11.279402934355856,236.735,9.353507809016543,4.883333333333334,0.321022671404303,0.7516666666666667,0.4320461652287757
720,169.98166666666665,7.848226799022108,2.38,1.6878783526466892,6.843333333333334,3.1137526484220883,15.795,5.350355907164802,41.36666666666667,11.285782599753064,236.36666666666667,9.288284137677005,4.871666666666667,0.33446059392533745,0.725,0.44651427748729566
730,170.80833333333334,7.7613313219375515,2.296666666666667,1.6579069803687883,6.678333333333334,3.092711413774148,15.425,5.309523676062359,40.776666666666664,11.21606536278308,235.985,9.21709146097618,4.855,0.35210083782916635,0.71,0.4537620521815387
740,171.51833333333335,7.714898825576963,2.2266666666666666,1.6130578277159062,6.456666666666667,2.9991313557243395,15.058333333333334,5.2001535767919655,40.06666666666667,11.166865669868551,235.32666666666665,9.099264927576414,4.85,0.35707142142714193,0.7533333333333333,0.43107101760872446
