,base-10,base-10,base-6,base-6,base-7,base-7,base-8,base-8,base-9,base-9,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
470,136.24333333333334,9.867325991484345,10.483333333333333,3.918297532801146,18.988333333333333,5.622709657174991,27.405,7.4268190813205255,50.528333333333336,10.780500787172285,243.64833333333334,11.082027366666965,5.0,0.0,0.5266666666666666,0.4992883824894074
480,137.83,9.872407676617351,10.355,3.932214176940686,18.751666666666665,5.6279064096301,27.248333333333335,7.419793161238088,50.446666666666665,10.890079073276825,244.63166666666666,11.246895744554978,5.0,0.0,0.5416666666666666,0.4982608642958903
490,139.41,9.837609804554496,10.165,3.9116631160330404,18.551666666666666,5.5851586568532,27.06833333333333,7.459914916106991,50.276666666666664,10.9271888221791,245.47166666666666,11.244073871254235,5.0,0.0,0.565,0.495756996924903
500,140.91666666666666,9.89291272690821,10.033333333333333,3.883154502320104,18.368333333333332,5.596665425848582,26.828333333333333,7.455123331567953,50.16,11.11175353698356,246.30666666666667,11.349564847262737,5.0,0.0,0.57,0.49507575177946267
510,142.41166666666666,9.923819689122848,9.91,3.8667686768153082,18.12,5.606745936815757,26.535,7.444826503463106,49.95333333333333,11.215814232096077,246.93,11.352610566150265,5.0,0.0,0.53,0.49909918853871227
520,143.90333333333334,9.931296771094678,9.751666666666667,3.823174582580407,17.815,5.608099054046749,26.286666666666665,7.484060098339376,49.74166666666667,11.307590248245745,247.49833333333333,11.624112749892886,5.0,0.0,0.5866666666666667,0.49243160833651517
530,145.30166666666668,9.79799285001213,9.585,3.779696857333052,17.516666666666666,5.586864554967794,25.968333333333334,7.436889844253143,49.401666666666664,11.344322980631704,247.77333333333334,11.728538793141373,5.0,0.0,0.5766666666666667,0.49408726174859335
540,146.68666666666667,9.79754164177026,9.391666666666667,3.7680583712157225,17.243333333333332,5.4976469714071605,25.7,7.41889479639657,49.05,11.315954813153553,248.07166666666666,11.671754961825096,5.0,0.0,0.5966666666666667,0.4905665658761876
550,148.085,9.759496657102769,9.17,3.6906774445892707,16.991666666666667,5.492564418273934,25.391666666666666,7.387259114328004,48.725,11.302331986512058,248.36333333333334,11.634201973300772,5.0,0.0,0.5933333333333334,0.4912116538610312
560,149.47,9.724493131606739,9.03,3.6403891733348126,16.683333333333334,5.4753741627602235,25.033333333333335,7.248141524249893,48.38,11.278841548078713,248.59666666666666,11.539381362197119,5.0,0.0,0.5866666666666667,0.4924316083365151
