,param,value,run,t_max,v_max,t_int,v_int
103,b,50,4,15,0.029590759487692964,149.0,0.005191129557658325
104,b,50,5,12,0.0341098825981776,285.0,0.0030335493434501264
105,b,50,6,16,0.031531854704915034,123.0,0.007179634438152505
106,b,50,7,6,0.035319946417997634,119.0,0.00870558048733594
107,b,50,8,12,0.031171035274317305,111.0,0.008940241431731888
108,b,50,9,11,0.032251874871582764,131.0,0.004889530321221081
109,b,50,10,6,0.029268049029750557,135.0,0.005250857703307243
110,b,50,11,12,0.03288176652018526,111.0,0.005922223740391974
111,b,50,12,7,0.02534527535435238,135.0,0.00524964898621194
112,b,50,13,18,0.028005973087371402,101.0,0.0068150763802363725
113,b,50,14,11,0.023366459259134498,275.0,0.004107110936891535
114,b,50,15,12,0.034105838101245116,89.0,0.008426533119935353
115,b,50,16,10,0.040538833313725764,154.0,0.005909411607876614
116,b,50,17,17,0.036404129935895035,199.0,0.0035094149013836784
117,b,50,18,16,0.024822463601737343,131.0,0.00554948821221446
118,b,50,19,14,0.03105849057294208,175.0,0.00654405249730594
119,b,50,20,15,0.03012224205534464,98.0,0.0070547161012419765
120,b,100,1,6,0.04842868338610496,23.0,0.01327677311506692
121,b,100,2,6,0.04088732912308357,41.0,0.010474821467012507
122,b,100,3,3,0.0329698084968344,83.0,0.005698049401338778
123,b,100,4,2,0.02522750266382534,56.0,0.009954639582300915
124,b,100,5,4,0.047575680488137095,95.0,0.003973429349830582
125,b,100,6,4,0.031273227697940165,38.0,0.009238698781170562
126,b,100,7,7,0.02879397941034512,48.0,0.007644473227399473
127,b,100,8,3,0.035960221778957635,89.0,0.005766584966902855
128,b,100,9,9,0.03739301794055905,75.0,0.006418132586476054
129,b,100,10,8,0.027451829349049998,39.0,0.011129584471641252
130,b,100,11,8,0.034943267704740766,46.0,0.008525960017291112
131,b,100,12,10,0.04443094832267835,58.0,0.007910008834524085
132,b,100,13,6,0.028772388537492418,43.0,0.010384996604984929
133,b,100,14,5,0.04472304228581603,119.0,0.0038066761417612227
134,b,100,15,22,0.02659778569143123,108.0,0.003903429012852122
135,b,100,16,8,0.03383127211121284,73.0,0.007065865154745944
136,b,100,17,4,0.031173882728686486,58.0,0.009427547446980268
137,b,100,18,11,0.0428409346311307,140.0,0.003653095083897106
138,b,100,19,2,0.03450127938962533,80.0,0.005217645530288806
139,b,100,20,3,0.03427332409708006,60.0,0.00797034733354085
140,K,5,1,181,0.006100227830300398,433.0,0.0012294651162030323
141,K,5,2,23,0.009568265765467654,1106.0,0.00047281680457400554
