gamma,eta,zeta,jsd_phis,jsd_alpha_mphi,entropy_mphi,std_jsd_phis,std_alpha_mphi,pearson_r,pearson_r_p_value,jsd_mphi_psi,entropy_psi,jsd_psi_alpha,jsd_psi_slices,gamma,eta,zeta,reflectance,coherence,synonymy
1,1,5,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.00042428450667943634,2.174356097654185e-05,-0.002445889679058844,0.9824916650329256,0.0510646924280902,0.7360614710605027,0.05138374947568991,0.0013733098843087916,1,1,5,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00010922376206290764,4.098485122546321e-06,-0.06129365724299245,0.5820031554380626,0.05074889222837475,0.7364332994533876,0.0510658195797804,0.0014111476758291246,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,8.568216832411308e-05,3.215116248620524e-06,-0.05927791207261673,0.594500382915804,0.051334480885409935,0.7356601178627089,0.05166299225621529,0.0015009807171102335,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00041276740341620276,2.149437656954128e-05,0.11499999043950455,0.30055211665467546,0.05135513054748708,0.7356784099472787,0.05168734924703644,0.0013733320269419388,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0003161962236124458,1.5881188580567028e-05,0.029174098119120508,0.7934651981269555,0.05084419964270204,0.7364212054694309,0.0511514089931393,0.0014217939209648612,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0003078865692803768,1.566876434276249e-05,-0.16601632667745628,0.13362138267916895,0.05075183961335394,0.7364483035215948,0.05108211571928623,0.0013975406797478937,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00041079801966346517,2.1450512443814768e-05,0.01601809630446507,0.8857153812003199,0.05087194524672834,0.736308280818892,0.05117575872545155,0.0014719619883855023,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0004964208030602123,2.601175964100265e-05,0.18451995768084267,0.09493221422174614,0.05024459449597174,0.7371333477139308,0.05055029702840752,0.0014124244548004107,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00030861480256931073,3.288215252927884e-05,0.8692774560654094,0.0003107795932610453,1.5742627132563947e-05,0.027344325244857918,0.8061571965194945,0.0512943797801757,0.7357374462898452,0.05161368691987312,0.001373667287609586,1,1,5,0.9999671178474707,0.9996913851974307,0.8692774560654094
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0001275676760155084,4.786817560507736e-06,-0.10857652593680707,0.3285344814984228,0.050573255217114976,0.7367252741621313,0.050896144161673984,0.0015294040203168969,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00015564938835981292,5.840548709160317e-06,-0.12310293531072433,0.26754414239415714,0.051028748444803096,0.7360818550733875,0.05135207297834077,0.0014326852955093535,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00031077959326108475,1.5742627132563944e-05,0.1092586667461338,0.32548663350194673,0.05111972410266618,0.7359565388412906,0.05145219923566202,0.0013505827207051474,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0002984252330350036,1.5428315798963133e-05,0.12566334639688215,0.25764318325947944,0.05156532689393156,0.7353668130472176,0.05188041717296432,0.001392151738416151,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.0003078865692803666,1.5668764342809216e-05,0.02114947758791789,0.8494815442258647,0.05276135507324264,0.7360251598122982,0.05140837575531965,0.001544423580952419,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
1,1,5,0.00015937960928347151,1.5760840909262438e-05,0.8685471361510304,0.00041818130842389466,2.1613481800062125e-05,0.026574181224249056,0.8115144327130441,0.05042413162406145,0.736907350698323,0.05072551695746208,0.0013424719731334874,1,1,5,0.9999842391590907,0.9998406203907165,0.8685471361510304
