,num_unique_words,num_unique_words,num_words,num_words,successes,successes
,mean,std,mean,std,mean,std
3800,44.72,17.078298119738605,455.70166666666665,149.36891465056877,0.47,0.49909918853871227
3900,40.55833333333333,17.465296940568248,429.0283333333333,145.67997184658654,0.5,0.5
4000,37.01833333333333,17.361489871423924,405.46166666666664,140.66115975594994,0.5633333333333334,0.49597266949791646
4100,33.50833333333333,17.048165020187817,383.3516666666667,133.83344623282915,0.5633333333333334,0.4959726694979164
4200,30.045,16.512913381149104,361.14666666666665,126.35283332355041,0.6183333333333333,0.48579545306870103
4300,26.86,16.051076807076424,342.44,120.88654350257517,0.64,0.47999999999999976
4400,23.883333333333333,15.417189180334455,325.44166666666666,114.28567975569915,0.66,0.47370877129307987
4500,21.006666666666668,14.733294117594866,309.79333333333335,107.65547186382227,0.7216666666666667,0.4481784118951839
4600,18.571666666666665,14.106317635096055,296.725,102.43586306400037,0.6916666666666667,0.4618050334165819
4700,16.285,13.042894936835669,284.27166666666665,95.01775902722378,0.7266666666666667,0.44567053102288917
4800,14.271666666666667,12.215203527662652,273.37,88.54078024654325,0.77,0.42083250825001467
4900,12.433333333333334,11.220318870493623,263.99833333333333,81.89638777477029,0.8133333333333334,0.38964371189873276
5000,10.82,10.339290755817489,255.44,75.03250229067383,0.8266666666666667,0.37853518844208917
5100,9.261666666666667,9.36286266171956,247.75666666666666,68.72120576810502,0.7916666666666666,0.40611643103370554
5200,8.161666666666667,8.619678873884416,241.73833333333334,64.04649246619384,0.8666666666666667,0.3399346342395209
5300,7.026666666666666,7.7345085313950195,235.68,57.896265855407236,0.8566666666666667,0.35041245538492083
5400,6.131666666666667,7.04800188390693,231.32833333333335,53.76728122711395,0.8833333333333333,0.3210226714043029
5500,5.316666666666666,6.398155116038458,227.29666666666665,49.927901239910284,0.9,0.29999999999999943
5600,4.798333333333333,5.940903176753151,224.25666666666666,46.64305009561697,0.92,0.2712931993250097
5700,4.251666666666667,5.287248549313924,221.16166666666666,42.04325784897699,0.9166666666666666,0.27638539919628147
5800,3.7316666666666665,4.735292728250537,218.445,38.42009424333389,0.9216666666666666,0.2686954078919516
5900,3.295,4.154673071775116,216.01,34.745357963330925,0.9266666666666666,0.26068286394689616
6000,2.92,3.6258700105399853,214.04,32.15035095713056,0.9433333333333334,0.2312045751181307
6100,2.611666666666667,3.200134979792117,212.19666666666666,29.895506722954593,0.94,0.23748684174075713
6200,2.3783333333333334,2.82521926386059,210.805,27.77481428080709,0.9366666666666666,0.24356153682842152
6300,2.1883333333333335,2.5670080941741387,209.805,26.44945446822415,0.9516666666666667,0.21446963006967404
6400,2.058333333333333,2.3968584763301393,208.815,25.266923866324984,0.9533333333333334,0.2109238935940851
6500,1.9083333333333334,2.0968064341331654,207.9,23.67565556994486,0.955,0.20730412441627824
6600,1.7433333333333334,1.8241314523782497,206.92833333333334,21.616657093290122,0.9583333333333334,0.19982631347136262
6700,1.625,1.5961542323138243,206.11,20.052711371117187,0.9683333333333334,0.1751110758601209
6800,1.5366666666666666,1.4612741776347802,205.34,18.445624594105567,0.975,0.15612494995995904
6900,1.4533333333333334,1.3042835410889668,204.635,16.531538797099373,0.9683333333333334,0.17511107586012092
7000,1.4016666666666666,1.194569890053419,204.18,15.213073325268596,0.9766666666666667,0.15095989165632204
7100,1.335,1.043763223469127,203.88333333333333,15.119624848373459,0.965,0.1837797594948923
7200,1.29,0.9465199416810983,203.435,13.57089195054369,0.9833333333333333,0.12801909579780962
7300,1.2716666666666667,0.9043582746284127,203.14166666666668,12.777907909965299,0.99,0.09949874371066122
7400,1.2416666666666667,0.8286116232724553,202.805,11.93581340616,0.9833333333333333,0.12801909579780907
7500,1.215,0.7497388434203796,202.50833333333333,11.195085107115416,0.99,0.09949874371066228
7600,1.1883333333333332,0.6948840830591027,202.16,10.543611019633298,0.9783333333333334,0.14559265854507358
7700,1.1583333333333334,0.6297596543303066,201.85166666666666,9.159675970736597,0.995,0.07053367989832932
7800,1.1533333333333333,0.5998518335574363,201.745,8.74737913129791,0.99,0.099498743710662
7900,1.1366666666666667,0.5489282487012528,201.58666666666667,8.576274767571743,0.9883333333333333,0.10738042445229684
8000,1.1266666666666667,0.5072365216433954,201.48166666666665,8.509582670273648,0.9916666666666667,0.09090593428863072
8100,1.1133333333333333,0.48698619647332353,201.30666666666667,7.8198010773221345,0.99,0.09949874371066164
