,B=1,B=1,B=1,B=1,B=1,B=1,B=5,B=5,B=5,B=5,B=5,B=5,B=10,B=10,B=10,B=10,B=10,B=10,B=15,B=15,B=15,B=15,B=15,B=15,B=20,B=20,B=20,B=20,B=20,B=20,B=25,B=25,B=25,B=25,B=25,B=25,B=30,B=30,B=30,B=30,B=30,B=30
,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
180,119.37666666666668,4.513105607253413,1.0,0.0,0.5433333333333333,0.4981186828680704,134.12,5.9865627310948035,2.9966666666666666,0.05763872155263506,0.4033333333333333,0.4905665658761874,146.06,5.71574433764609,4.98,0.1399999999999999,0.2633333333333333,0.4404416974911541,153.14,5.870865921366852,7.54,0.5432003927342723,0.22,0.4142463035441605,157.69333333333333,5.0858583892550095,9.526666666666667,0.5966201099154765,0.18,0.3841874542459717,161.41333333333333,5.587112154075863,11.706666666666667,0.7877957998251962,0.15333333333333332,0.3603085097832452,163.52666666666667,5.121453786659496,13.706666666666667,0.8721365846140273,0.14,0.3469870314579489
190,123.33666666666667,4.5346799470549435,1.0,0.0,0.6366666666666667,0.4809596887705066,138.91666666666666,6.240971256320785,2.9966666666666666,0.05763872155263506,0.39666666666666667,0.4892057054268922,151.7,5.975784467331464,4.98,0.1399999999999999,0.29,0.4537620521815369,159.56333333333333,6.085446208418543,7.543333333333332,0.54294464624756,0.19333333333333333,0.3949120858565303,164.79666666666662,5.284756906003865,9.56,0.5713142742834273,0.19666666666666666,0.3974781615244909,168.55333333333334,5.978334959576028,11.726666666666668,0.7822758819978767,0.14333333333333334,0.3504124553849203,171.19666666666666,5.455088348403616,13.75,0.8760707733967615,0.15,0.3570714214271433
200,127.09666666666666,4.664117160716365,1.0,0.0,0.6533333333333333,0.4759084879353256,143.68,6.434614725581222,2.9966666666666666,0.05763872155263506,0.44,0.4963869458396348,157.30333333333334,6.364326795157174,4.986666666666666,0.11469767022723487,0.32,0.4664761515876254,165.99666666666667,6.319545518117224,7.553333333333334,0.5358689723762285,0.22,0.4142463035441605,171.58666666666667,5.520491121469376,9.576666666666666,0.5693173299858537,0.19333333333333333,0.3949120858565303,175.61,6.50624571725763,11.736666666666665,0.7793088105637096,0.13333333333333333,0.33993463423951925,178.64333333333335,5.830619368662496,13.796666666666667,0.8536132353446447,0.12333333333333335,0.32881943711134537
210,130.6233333333333,4.648453745303077,1.0,0.0,0.7066666666666667,0.4552898954390378,148.04666666666662,6.551169530871737,3.0,0.0,0.48,0.4995998398718727,162.52666666666667,6.7830147345327925,4.986666666666666,0.11469767022723487,0.29,0.4537620521815369,171.95,6.808879007100461,7.573333333333332,0.5208539995899887,0.21666666666666667,0.4119735698102753,178.02333333333337,5.781821127945379,9.586666666666666,0.561980624418869,0.16,0.36660605559646703,182.6,6.968022196673409,11.763333333333335,0.7750197130109352,0.14666666666666667,0.3537733109712421,185.88333333333333,6.169526363956599,13.826666666666664,0.8621420352174521,0.11333333333333333,0.3169998247458328
220,133.99333333333334,4.554114135104151,1.0,0.0,0.7233333333333334,0.4473502232280897,152.04666666666662,6.738779975303806,3.0,0.0,0.51,0.4998999899979988,167.58333333333334,6.941881749368987,4.983333333333333,0.12801909579781032,0.34,0.4737087712930809,177.74666666666667,7.286230545045594,7.593333333333334,0.5176442364747778,0.25666666666666665,0.4367938746009257,184.34666666666664,6.266829785111092,9.613333333333333,0.5327496806401878,0.20333333333333334,0.4024784328245301,189.22666666666663,7.2019873800376955,11.796666666666667,0.7584999816890049,0.20333333333333334,0.4024784328245298,193.11,6.6856488092031885,13.873333333333333,0.8547644249863371,0.15333333333333332,0.3603085097832453
230,137.28,4.571097607066967,1.0,0.0,0.65,0.4769696007084736,156.17666666666668,6.763538685891838,3.0,0.0,0.43666666666666665,0.4959726694979164,172.6233333333333,7.003912398716079,4.983333333333333,0.12801909579781032,0.33,0.4702127178203495,183.3233333333333,7.481897412347277,7.596666666666668,0.5170321288104078,0.26,0.4386342439892256,190.2933333333333,6.714210469014375,9.62,0.5249761899362676,0.23666666666666664,0.4250359461922668,195.91333333333333,7.605644103047564,11.823333333333334,0.7519677889082442,0.18666666666666668,0.3896437118987326,199.86333333333332,6.8267602532647595,13.883333333333333,0.8384840818736853,0.17666666666666667,0.3813863599495347
240,140.33,4.579057399363616,1.0,0.0,0.6466666666666666,0.4780051138731555,159.7,6.976388750635956,3.0,0.0,0.53,0.49909918853871205,177.49333333333337,7.143058790804447,4.983333333333333,0.12801909579781032,0.2933333333333333,0.4552898954390378,188.77,7.925723941697693,7.6,0.5163977794943224,0.2433333333333333,0.42909465415246334,196.20333333333332,7.2504245086446835,9.623333333333333,0.5242030988928714,0.19333333333333333,0.3949120858565303,202.31,7.742129336730738,11.84,0.7534808115229825,0.18333333333333326,0.3869395588747976,206.15,7.260452235685232,13.906666666666665,0.8354373438837591,0.14666666666666667,0.35377331097124204
250,143.05333333333334,4.534735077402226,1.0,0.0,0.7266666666666667,0.4456705310228883,163.16333333333333,7.102815560669506,3.0,0.0,0.4933333333333334,0.4999555535800722,181.88666666666663,7.24894168520864,4.986666666666666,0.11469767022723487,0.39,0.4877499359302883,193.7733333333333,8.21068139004851,7.616666666666666,0.4997221450188312,0.2866666666666667,0.4522044768563101,201.99,7.6124831691111154,9.63,0.5161718060232784,0.25666666666666665,0.4367938746009257,208.53333333333333,7.91847347802733,11.836666666666664,0.7593784007697065,0.17333333333333334,0.37853518844209055,212.63333333333333,7.594661867976015,13.906666666666665,0.8233805654468352,0.20333333333333334,0.4024784328245299
260,145.8766666666667,4.352178254110875,1.0,0.0,0.68,0.4664761515876253,166.66,7.356022475948985,3.0,0.0,0.55,0.4974937185533102,185.8233333333333,7.106249987784616,4.99,0.09949874371066217,0.39666666666666667,0.4892057054268922,198.54,8.455475543496455,7.623333333333332,0.4981186828680717,0.2966666666666667,0.4567883049680181,207.64333333333332,8.012248262642776,9.626666666666667,0.5297378806751717,0.24,0.4270831300812527,214.5533333333333,8.172340885912405,11.853333333333332,0.7605845705040892,0.15333333333333332,0.3603085097832453,218.58333333333331,8.0578981268208,13.936666666666667,0.8037343397472136,0.19,0.39230090491866026
270,148.5,4.491102314577124,1.0,0.0,0.7066666666666667,0.4552898954390377,169.69666666666666,7.586698154591954,3.0,0.0,0.5433333333333333,0.4981186828680703,189.80666666666667,7.45403395633681,4.99,0.09949874371066217,0.41,0.4918333050943183,203.14666666666668,8.647841092177604,7.626666666666668,0.49728149863924,0.3,0.4582575694955856,212.43,8.09352210103859,9.63,0.5289297369846644,0.2966666666666667,0.456788304968018,220.2133333333333,8.262030958278691,11.866666666666667,0.7453559924999306,0.20333333333333334,0.4024784328245302,224.64,8.161927876835637,13.943333333333333,0.8042318626421676,0.19666666666666666,0.3974781615244907
