,eta=1,eta=1,eta=1,eta=1,eta=1,eta=1,eta=2,eta=2,eta=2,eta=2,eta=2,eta=2,eta=3,eta=3,eta=3,eta=3,eta=3,eta=3
,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes,num_bases,num_bases,num_unique_bases,num_unique_bases,successes,successes
,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std,mean,std
340,212.61333333333332,8.643137290487887,4.993333333333333,0.0813770374382248,0.4866666666666667,0.4998221906060422,244.5533333333333,9.179714350433546,4.996666666666667,0.05763872155263521,0.5166666666666667,0.4997221450188325,251.74,7.896353588840867,5.0,0.0,0.43666666666666665,0.4959726694979164
350,215.03,8.449996055225906,4.993333333333333,0.0813770374382248,0.4666666666666667,0.4988876515698592,248.6833333333333,9.48558848405774,4.996666666666667,0.05763872155263521,0.4566666666666666,0.4981186828680704,256.36,8.061662359588128,5.0,0.0,0.5633333333333334,0.4959726694979164
360,217.55,8.596559389275074,4.986666666666666,0.11469767022723447,0.4633333333333333,0.498653743148045,252.65,9.737256629393443,4.996666666666667,0.05763872155263521,0.5233333333333333,0.4994552588125946,261.0433333333333,8.25276451997888,5.0,0.0,0.51,0.4998999899979989
370,219.72,8.825432944998601,4.986666666666666,0.11469767022723447,0.52,0.4995998398718727,256.4033333333333,9.864109465915083,4.996666666666667,0.05763872155263521,0.5233333333333333,0.4994552588125946,265.48,8.407710746689608,5.0,0.0,0.5433333333333333,0.4981186828680703
380,221.87,8.803773812027046,4.986666666666666,0.11469767022723447,0.5,0.5,260.00333333333333,10.040417764659438,4.996666666666667,0.05763872155263521,0.5233333333333333,0.4994552588125946,269.6533333333333,8.631714133872183,5.0,0.0,0.5166666666666667,0.4997221450188323
390,223.70333333333332,8.79025912903343,4.986666666666666,0.11469767022723447,0.4966666666666666,0.4999888887654293,263.46666666666664,10.3541725352096,4.996666666666667,0.05763872155263521,0.46,0.4983974317750848,273.82666666666665,8.857197951697568,5.0,0.0,0.56,0.4963869458396336
400,225.3233333333333,8.961703087149356,4.986666666666666,0.11469767022723447,0.5166666666666667,0.4997221450188326,266.7633333333333,10.602860725085263,4.996666666666667,0.05763872155263521,0.5333333333333333,0.4988876515698591,278.1,9.075057391921376,5.0,0.0,0.5566666666666666,0.4967785108968461
410,226.65,9.209098761550988,4.983333333333333,0.12801909579781032,0.5233333333333333,0.4994552588125946,269.92,10.916360809964706,4.996666666666667,0.05763872155263521,0.5233333333333333,0.4994552588125946,281.93333333333334,9.23194935476191,5.0,0.0,0.56,0.4963869458396337
420,227.99666666666667,9.242834461835225,4.983333333333333,0.1280190957978103,0.5266666666666666,0.4992883824894079,272.81666666666666,11.204004740369498,4.996666666666667,0.05763872155263521,0.5866666666666667,0.4924316083365161,285.87666666666667,9.388723141206276,5.0,0.0,0.5966666666666667,0.4905665658761871
430,229.25333333333333,9.30246323412364,4.98,0.1399999999999999,0.55,0.4974937185533102,275.77,11.420614402620089,4.996666666666667,0.05763872155263521,0.5833333333333334,0.4930066485916356,289.7366666666667,9.662676762793133,5.0,0.0,0.5766666666666667,0.4940872617485926
440,230.35666666666665,9.398020477147773,4.98,0.1399999999999999,0.53,0.4990991885387121,278.6433333333333,11.796162747078194,4.996666666666667,0.05763872155263521,0.5966666666666667,0.4905665658761873,293.43,9.95180553132613,5.0,0.0,0.54,0.4983974317750848
450,231.55,9.249909909471194,4.98,0.1399999999999999,0.5733333333333334,0.4945929864264369,281.58,11.93469452199483,4.996666666666667,0.05763872155263521,0.5366666666666666,0.4986537431480448,297.06666666666666,10.121703853052058,5.0,0.0,0.6033333333333334,0.4892057054268921
460,232.51666666666668,9.3614309210125,4.98,0.1399999999999999,0.56,0.4963869458396337,283.97,12.086732395482244,4.996666666666667,0.05763872155263521,0.5833333333333334,0.4930066485916357,300.3933333333333,10.188160885175613,5.0,0.0,0.61,0.4877499359302882
470,233.59,9.297772134585077,4.98,0.1399999999999999,0.57,0.495075751779462,286.38666666666666,12.465037326681204,4.996666666666667,0.05763872155263521,0.57,0.495075751779462,303.72,10.5660588679034,5.0,0.0,0.6766666666666666,0.4677487454701376
480,234.27666666666667,9.264634669297834,4.976666666666667,0.1509598916563234,0.5933333333333334,0.4912116538610307,288.64,12.84382082300019,4.996666666666667,0.05763872155263521,0.58,0.4935585071701225,306.92,10.669283012461523,5.0,0.0,0.62,0.4853864439804634
490,235.11333333333332,9.403216943625663,4.973333333333334,0.16110727964792804,0.58,0.4935585071701226,290.71,12.972762491723444,4.996666666666667,0.05763872155263521,0.68,0.4664761515876253,310.18,11.021234050685973,5.0,0.0,0.6166666666666667,0.4861984048604937
500,235.58666666666667,9.296728217795527,4.97,0.1705872210923192,0.63,0.48280430818293196,292.6566666666667,13.127532983094056,4.996666666666667,0.05763872155263521,0.61,0.4877499359302882,313.25666666666666,11.475660716877648,5.0,0.0,0.66,0.4737087712930809
510,236.23,9.34543203923714,4.966666666666667,0.17950549357115053,0.61,0.4877499359302884,294.3433333333333,13.265448436529471,4.993333333333333,0.08137703743822476,0.61,0.4877499359302882,316.37333333333333,11.755876072085067,5.0,0.0,0.5966666666666667,0.4905665658761873
520,236.56666666666663,9.208269230546104,4.963333333333333,0.1879420714534735,0.61,0.4877499359302882,296.17333333333335,13.636102408272276,4.993333333333333,0.08137703743822476,0.6266666666666667,0.4836895239257874,319.03333333333336,12.003564285476026,5.0,0.0,0.6333333333333333,0.4818944098266994
530,236.86666666666667,9.251786614246758,4.963333333333333,0.1879420714534735,0.6766666666666666,0.4677487454701376,297.81666666666666,13.844001910173551,4.993333333333333,0.08137703743822476,0.6033333333333334,0.4892057054268922,321.7366666666667,12.202212458767026,5.0,0.0,0.66,0.473708771293081
540,237.15,8.9848483570954,4.956666666666667,0.20360637405434015,0.6233333333333333,0.4845501923319082,299.37333333333333,13.94825994723196,4.993333333333333,0.08137703743822476,0.64,0.4800000000000006,324.5833333333333,12.489584549624634,5.0,0.0,0.6066666666666667,0.4884897360459303
550,237.45333333333332,8.912602812247881,4.953333333333333,0.21092389359408506,0.5966666666666667,0.4905665658761874,300.8233333333333,14.271140653625253,4.99,0.09949874371066217,0.6833333333333333,0.4651761912317613,327.0933333333333,12.870558996752589,5.0,0.0,0.6933333333333334,0.461109772421082
560,237.79,8.839262789773064,4.95,0.2179449471770332,0.62,0.4853864439804632,302.0966666666667,14.500137547240335,4.99,0.09949874371066217,0.67,0.4702127178203497,329.6433333333333,13.147729419519127,5.0,0.0,0.6166666666666667,0.4861984048604936
570,238.14333333333332,8.794853924628622,4.95,0.2179449471770332,0.68,0.4664761515876253,303.37,14.306400665436437,4.99,0.09949874371066217,0.6233333333333333,0.4845501923319083,332.01666666666665,13.522933195953545,5.0,0.0,0.6433333333333333,0.4790151934495972
580,238.45,8.970367885432573,4.94,0.2374868417407578,0.6633333333333333,0.4725698067187766,304.43666666666667,14.564087872419462,4.99,0.09949874371066217,0.68,0.4664761515876253,334.0133333333333,13.811824241891012,5.0,0.0,0.6866666666666666,0.4638486343146394
590,238.59,9.062113440031528,4.93,0.25514701644346044,0.6766666666666666,0.4677487454701377,305.64666666666665,14.702442729771885,4.99,0.09949874371066217,0.66,0.4737087712930809,335.96,13.993274575071174,5.0,0.0,0.65,0.4769696007084732
600,238.41666666666663,9.041923959472827,4.92,0.2712931993250098,0.67,0.4702127178203497,306.80333333333334,14.984146807728346,4.99,0.09949874371066217,0.6666666666666666,0.4714045207910325,338.05333333333334,14.371632552435461,5.0,0.0,0.7066666666666667,0.4552898954390376
610,238.2933333333333,9.104977881479018,4.916666666666667,0.27638539919628224,0.6933333333333334,0.461109772421082,307.87666666666667,15.049079336919215,4.99,0.09949874371066217,0.6833333333333333,0.4651761912317614,340.18333333333334,14.727855316447881,5.0,0.0,0.7433333333333333,0.4367938746009257
620,238.2633333333333,9.24269020481712,4.916666666666667,0.27638539919628224,0.7,0.4582575694955854,308.61333333333334,15.331138973416891,4.99,0.09949874371066217,0.6833333333333333,0.4651761912317613,342.05333333333334,14.976776095749795,5.0,0.0,0.6966666666666667,0.4596979684773719
630,238.11333333333332,9.584387768078297,4.91,0.2861817604250831,0.67,0.4702127178203497,309.5966666666667,15.461155268032918,4.99,0.09949874371066217,0.72,0.44899888641287344,343.83666666666664,15.055120575922187,5.0,0.0,0.69,0.4624932431938874
640,237.94,9.58069586895093,4.91,0.2861817604250831,0.7266666666666667,0.4456705310228883,310.49666666666667,15.764411043726163,4.99,0.09949874371066217,0.6866666666666666,0.4638486343146394,345.4833333333333,15.183863876570484,5.0,0.0,0.7166666666666667,0.4506168611531931
650,237.79666666666665,9.391236458647086,4.906666666666666,0.2908989897236193,0.6733333333333333,0.4689941956523072,311.08,15.770444931368715,4.99,0.09949874371066217,0.7133333333333334,0.45220447685631,347.38666666666666,15.309163559413983,5.0,0.0,0.7433333333333333,0.4367938746009257
660,237.53666666666663,9.377028076931172,4.9,0.30000000000000143,0.7266666666666667,0.4456705310228881,311.45,15.808673779500493,4.99,0.09949874371066217,0.7066666666666667,0.4552898954390378,349.0033333333333,15.531580373190902,5.0,0.0,0.71,0.4537620521815369
670,237.15666666666667,9.341241292723838,4.8933333333333335,0.3086889840744059,0.7333333333333333,0.44221663871405215,311.87,15.764721162562099,4.99,0.09949874371066217,0.7033333333333334,0.4567883049680176,350.51333333333326,15.953781857464252,5.0,0.0,0.7333333333333333,0.4422166387140519
680,236.83,9.418126140586567,4.886666666666667,0.3169998247458322,0.7533333333333333,0.4310710176087245,312.49333333333334,16.018633594106017,4.99,0.09949874371066217,0.6666666666666666,0.4714045207910323,351.82333333333327,16.186170709041164,5.0,0.0,0.7266666666666667,0.4456705310228881
690,236.2933333333333,9.043632505187768,4.88,0.3249615361854372,0.72,0.4489988864128737,312.9033333333333,16.322397359320586,4.99,0.09949874371066217,0.71,0.4537620521815369,353.11666666666673,16.48422646720865,5.0,0.0,0.7,0.4582575694955854
700,236.15666666666667,9.005116446899628,4.873333333333333,0.3325991915537704,0.71,0.4537620521815369,313.1533333333333,16.491305453345884,4.99,0.09949874371066217,0.7633333333333333,0.4250359461922668,354.42,16.717763008249637,5.0,0.0,0.75,0.4330127018922193
710,235.92666666666668,8.91335826473701,4.876666666666667,0.32881943711134504,0.7833333333333333,0.41197356981027533,313.3933333333333,16.41580403824992,4.99,0.09949874371066217,0.77,0.4208325082500168,355.82666666666665,16.810610405997227,5.0,0.0,0.6533333333333333,0.4759084879353258
720,235.59333333333333,8.81180773482692,4.873333333333333,0.3325991915537704,0.73,0.4439594576084612,313.63,16.725622061177074,4.99,0.09949874371066217,0.6866666666666666,0.4638486343146393,356.88666666666666,16.997072950625615,5.0,0.0,0.6733333333333333,0.4689941956523071
730,235.30666666666667,8.719668699109057,4.866666666666666,0.33993463423951914,0.7266666666666667,0.4456705310228879,313.83,16.955267618058993,4.99,0.09949874371066217,0.7133333333333334,0.4522044768563099,357.96,17.111352956443852,5.0,0.0,0.7233333333333334,0.4473502232280897
740,234.81333333333333,8.788922320487055,4.846666666666667,0.36944402673326543,0.7433333333333333,0.4367938746009257,313.83,17.080820628217282,4.99,0.09949874371066217,0.7733333333333333,0.4186751591495365,359.1533333333333,17.26740152876383,5.0,0.0,0.75,0.4330127018922193
750,234.28666666666663,8.795329568709871,4.84,0.3755884272267529,0.75,0.4330127018922193,313.97,17.12081871095344,4.986666666666666,0.11469767022723493,0.7233333333333334,0.4473502232280897,360.2133333333333,17.558886322568654,4.996666666666667,0.057638721552635004,0.7633333333333333,0.4250359461922667
760,233.7433333333333,8.65895233590967,4.823333333333333,0.3900284889879493,0.7566666666666667,0.4290946541524636,314.02666666666664,17.142713385640608,4.986666666666666,0.11469767022723493,0.7666666666666667,0.4229525846816504,361.2166666666666,17.854310092772806,4.996666666666667,0.057638721552635004,0.7966666666666666,0.4024784328245302
770,233.16,8.537431307678753,4.8133333333333335,0.3981066300488969,0.7433333333333333,0.4367938746009257,313.99666666666667,17.282457065539674,4.986666666666666,0.11469767022723493,0.8066666666666666,0.3949120858565303,362.07,17.976422521365773,4.996666666666667,0.057638721552635004,0.76,0.4270831300812527
780,232.75,8.569373761638984,4.803333333333334,0.4057777169283153,0.77,0.42083250825001695,313.6333333333333,17.291391564076676,4.986666666666666,0.11469767022723493,0.78,0.4142463035441604,363.0366666666667,18.256194991168204,4.996666666666667,0.057638721552635004,0.72,0.4489988864128733
790,232.32666666666665,8.500977721546048,4.793333333333333,0.4130644286575904,0.7833333333333333,0.4119735698102753,313.4,17.382941830043233,4.986666666666666,0.11469767022723493,0.7833333333333333,0.4119735698102754,363.9,18.47782454727829,4.996666666666667,0.057638721552635004,0.72,0.4489988864128734
800,231.76,8.475203045748609,4.78,0.42221637422850783,0.7633333333333333,0.4250359461922667,313.0933333333333,17.438786909899687,4.986666666666666,0.11469767022723493,0.75,0.4330127018922193,364.4966666666666,18.632319292622217,4.996666666666667,0.057638721552635004,0.8033333333333333,0.3974781615244907
810,231.3,8.395832299420945,4.753333333333333,0.4387355569006092,0.7866666666666666,0.40966110655299204,312.6766666666667,17.32047311388719,4.986666666666666,0.11469767022723493,0.76,0.4270831300812527,364.98333333333335,18.704270160105747,4.996666666666667,0.057638721552635004,0.8166666666666667,0.3869395588747973
820,230.82666666666665,8.399798939392666,4.733333333333333,0.457043640026735,0.78,0.4142463035441603,312.34,17.304461852366277,4.986666666666666,0.11469767022723493,0.7866666666666666,0.40966110655299204,365.51333333333326,18.946323008846754,4.996666666666667,0.057638721552635004,0.7866666666666666,0.40966110655299204
830,230.28333333333333,8.443718901579382,4.723333333333334,0.4691718472182895,0.7533333333333333,0.4310710176087244,311.91333333333336,17.50654607726937,4.986666666666666,0.11469767022723493,0.7866666666666666,0.40966110655299204,365.96,19.127076793558047,4.996666666666667,0.057638721552635004,0.8066666666666666,0.3949120858565303
840,229.82666666666665,8.410902977022673,4.696666666666666,0.4809596887705066,0.7666666666666667,0.4229525846816503,311.14,17.592623454163963,4.986666666666666,0.11469767022723493,0.79,0.407308237088326,366.41666666666674,19.333814649181075,4.996666666666667,0.057638721552635004,0.78,0.41424630354416014
850,229.34666666666664,8.251857703302669,4.683333333333334,0.4861984048604936,0.8266666666666667,0.37853518844209,310.55,17.526194681105196,4.983333333333333,0.12801909579781026,0.7833333333333333,0.4119735698102756,366.77333333333326,19.534805405281674,4.993333333333333,0.08137703743822462,0.76,0.4270831300812528
860,228.69,8.153152764421876,4.673333333333333,0.4898525855352349,0.8533333333333334,0.35377331097124204,309.82,17.551284853252195,4.983333333333333,0.12801909579781026,0.8,0.39999999999999936,367.16,19.66013902968812,4.99,0.09949874371066228,0.8033333333333333,0.3974781615244907
870,228.1033333333333,8.114143344939263,4.663333333333333,0.4999888887654298,0.8033333333333333,0.3974781615244907,309.4066666666667,17.560408752519276,4.983333333333333,0.12801909579781026,0.7666666666666667,0.42295258468165065,367.56,19.861681701205466,4.986666666666666,0.11469767022723462,0.7866666666666666,0.40966110655299204
880,227.5733333333333,8.212873363743581,4.65,0.5041494487418064,0.8,0.39999999999999936,308.79,17.462509365304097,4.983333333333333,0.12801909579781026,0.79,0.407308237088326,367.9066666666667,19.88428078212089,4.986666666666666,0.11469767022723462,0.7666666666666667,0.4229525846816508
890,226.95,8.301857221931334,4.63,0.5161718060232782,0.79,0.407308237088326,308.26,17.610197803166965,4.983333333333333,0.12801909579781026,0.7633333333333333,0.4250359461922668,368.08333333333326,20.201230710583502,4.986666666666666,0.11469767022723462,0.8,0.39999999999999936
900,226.61666666666667,8.275851752068911,4.613333333333333,0.5327496806401878,0.7966666666666666,0.4024784328245299,307.67,17.807707132961657,4.98,0.13999999999999996,0.7933333333333333,0.4049142570416048,368.36666666666673,20.316468415767755,4.986666666666666,0.11469767022723462,0.7933333333333333,0.4049142570416048
910,225.92666666666668,8.127399474753425,4.6033333333333335,0.5347792898840512,0.84,0.36660605559646703,307.1166666666667,18.02432769589171,4.976666666666667,0.1509598916563234,0.8166666666666667,0.3869395588747975,368.37666666666667,20.553867167897025,4.986666666666666,0.11469767022723462,0.7966666666666666,0.4024784328245301
